N 종목명 현재가 전일비 등락률 액면가 시가총액 상장주식수 외국인비율거래량 PERROE 토론실
30,HD현대중공업,"133,000","4,100",+3.18%,"5,000","118,068","88,773",7.23,"122,375",-70.22,-6.47,
31,메리츠금융지주,"56,300",600,+1.08%,500,"117,227","208,218",16.82,"193,776",5.20,30.32,
32,HMM,"16,900","1,030",+6.49%,"5,000","116,448","689,039",9.04,"3,736,279",3.90,64.98,
33,SK텔레콤,"50,500",100,-0.20%,100,"110,511","218,833",41.78,"326,203",9.78,7.97,
34,삼성전기,"146,300",400,-0.27%,"5,000","109,277","74,694",30.62,"114,634",23.09,13.76,
35,고려아연,"517,000","20,000",+4.02%,"5,000","108,097","20,909",18.29,"107,362",17.29,9.38,
36,크래프톤,"216,500","1,000",-0.46%,100,"104,705","48,363",32.37,"55,620",23.91,10.29,
37,두산에너빌리티,"15,610",340,+2.23%,"5,000","99,992","640,561",13.19,"2,276,980",-23.33,-11.70,
38,우리금융지주,"12,860",50,-0.39%,"5,000","96,701","751,949",37.64,"462,546",3.23,11.51,
39,에코프로머티,"140,500","4,100",+3.01%,500,"95,859","68,227",0.60,"2,430,675",477.89,6.77,
40,포스코인터내셔널,"54,400","1,300",-2.33%,"5,000","95,702","175,923",6.38,"627,845",12.70,15.79,
41,기업은행,"11,810",60,-0.51%,"5,000","94,176","797,426",14.09,"560,281",3.28,9.85,
42,하이브,"208,500","3,000",-1.42%,500,"86,845","41,652",20.59,"96,043",112.64,1.87,
43,KT,"33,450",200,+0.60%,"5,000","86,254","257,861",42.74,"259,529",7.28,7.99,
44,대한항공,"22,600",250,+1.12%,"5,000","83,218","368,221",16.23,"571,143",6.19,21.95,
45,한화오션,"27,000",150,-0.55%,"5,000","82,717","306,359",10.01,"1,066,721",-8.40,-117.79,
46,HD한국조선해양,"113,500","2,200",+1.98%,"5,000","80,327","70,773",25.32,"107,001",53.41,-2.22,
47,TIGER CD금리투자KIS(합성),"53,430",5,+0.01%,0,"77,821","145,650",0.02,"153,637",N/A,N/A,
48,S-Oil,"69,100",400,+0.58%,"2,500","77,795","112,583",76.85,"118,310",7.92,27.20,
49,아모레퍼시픽,"126,300","1,700",-1.33%,500,"73,876","58,493",27.21,"72,941",54.16,2.81,
50,삼성중공업,"8,150",20,+0.25%,"1,000","71,720","880,000",19.92,"2,797,454",-34.98,-16.08,
